variable_name,model_block,preferred_source,expected_frequency,stress_test_role,inclusion_status,likely_automation,expected_gap_risk,first_action
dFAST_projected_losses,DFAST benchmark,FED_DFAST,Annual,Supervisory benchmark for losses.,Core,Automatable,Low to moderate,Download DFAST result files and build benchmark dictionary.
dFAST_projected_ppnr,DFAST benchmark,FED_DFAST,Annual,Supervisory benchmark for PPNR.,Core,Automatable,Low to moderate,Download DFAST result files and build benchmark dictionary.
dFAST_minimum_cet1_ratio,DFAST benchmark,FED_DFAST,Annual,Supervisory benchmark for solvency.,Core,Automatable,Low to moderate,Download DFAST result files and build benchmark dictionary.
gdp_growth,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Macro scenario driver.,Core,Automatable,Low,Download macro variables and scenario paths.
unemployment_rate,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Credit-loss and household stress driver.,Core,Automatable,Low,Download macro variables and scenario paths.
cpi_inflation,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Inflation and rate-stress driver.,Core,Automatable,Low,Download macro variables and scenario paths.
fed_funds_rate,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Short-rate scenario driver.,Core,Automatable,Low,Download macro variables and scenario paths.
treasury_10y_rate,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Long-rate and securities valuation driver.,Core,Automatable,Low,Download macro variables and scenario paths.
house_price_index,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Mortgage and collateral-value driver.,Core,Automatable,Low,Download macro variables and scenario paths.
corporate_bond_spread,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Credit-spread and market-stress driver.,Core,Automatable,Low,Download macro variables and scenario paths.
stock_market_index,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Equity-market and market-risk driver.,Core,Automatable,Low,Download macro variables and scenario paths.
